Sub #,Proof-read,Select your age range,Select your location
1,"Examine measures that could be taken to ensure longer-term thinking across public policy. How can Ireland explore ways to incentivise slower, longer-term investments in Irish social infrastructure? How can Ireland encourage consensus political decisions across successive governments that could be formed by different political parties beyond 4-5 year election cycles?",30-39,Other
2,Cabhrú lenár dteanga tríd an bhfilíocht.,50-59,Kerry
3,"I think it would be a good idea to quantify the mental harm and stress caused by the the repetitive use of temporary employment contracts used in research, higher education and the public sector of Ireland. The erosion of worker's rights through this mechanism affects tens of thousands of workers in Ireland. ",40-49,Galway
4,"Promote vegetarianism, and help farmers convert to growing crops such as hemp.",60-69,Waterford
5,"All new or renovated buildings should have solar power capability as part of their planning permission conditions.
Over ground car parks, filling stations should have solar generating cover especially at big supermarkets, retail parks, hospitals etc. Multi benefit: generating their own power, shade for car users from sun & rain & ready made covered space for dining, charity events, markets etc.",50-59,Wicklow
6,Stop abusing worker's rights. Give people permanent contracts rather than repeated fixed term contracts on bogus grounds.,30-39,Mayo
7,Irelands agri-sector contributes greatly to climate change & biodiversity loss however much of the sector produces products for export while the country imports food that used to be grown in Ireland. Research should be undertaken in relation to a more sustainable agriculture industry that produces our own needs initially and is less impactful on nature by reducing monocultures and implementing circular principles.,30-39,Cork
8,Research in relation to the benefits of a local currency that could operate in parallel with the Euro including the potential of a local cryptocurrency.,30-39,Cork
9,"We need to speed up the asylum seeking process. The average wait time for a first interview is 18 months. In Germany  for those from safe countries/obvious cases a decision is made within 4 days. Also, for those asylum applicants who are rejected but not deported they should be asked to pay back the cost to the Irish State (other EU countries already do this).",,
10,"Economic growth can be restricted by many factors such as lack of finance, political instability, etc. It is clear that there will be opportunities in traditional sectors and emerging technologies and sufficient expertise (human resources) is and will be a binding constraint to growth. To put it quite simply, try and get a plummer! The HR needs of the country should be researched in depth to mitigate this risk.",30-39,Cork
11,"Crowd-source research topics, with research ideas with most impact as judged by a wide variety of society being funded.",30-39,Limerick
12,"We need a public Irish genome project, to enable faster, deeper genomic research, bringing genomic healthcare to all who need it. Genomics can revolutionize healthcare in Ireland. For example if we were able to sequence patients in Ireland it would mean a quicker diagnosis, better treatments for patients in Ireland. Genomics in Ireland is lagging behind the UK and the USA.",20-29,Dublin
13,"What the question ought to be how researchers in Ireland can perform their research. In 2018 Irish expenditure on R & D was 1.14% of GDP, this is pathetically low for a developed country and is half of the world average spend on research. Questioning ""what researchers in Ireland can do"" is pointless unless they are funded. The dual role of the DG of the SFI also being the CSA to the government is also a nonsense.",30-39,Galway
14,"Interest in people living in rural areas to develop more social enterprise skills to create bespoke and cottage industries in order to create to more educational, employment and entrepreneurial opportunities at a local level. This can be done by providing practical skills and resources to communities.",30-39,Sligo
15,Rethink education and training. Prior educational achievement is now acting as a barrier to long-term employment for unemployed adults looking to reskill. People are stuck due to a lack of employment in the area they are qualified in or they were given poor career advice and are unable to use their qualifications to gain employment.,30-39,Sligo
16,"Early career research pathways should be diversified and professionalised. Socio-economic status is a big factor in who gets to be a researcher as stipends are low and challenging to obtain.

We should ensure there are more stable research positions in Ireland and consider positions where outreach and other activities form a solid part of the role and career development instead of pushing only for publications.",20-29,Galway
17,Open up the Adult Educational Guidance Services to accommodate all working people by allowing them access to a guidance counsellor. People considering leaving employment without the facts and are being put at risk of being long term unemployed. Having access to correct facts and information on education and employment markets could help reduce the risk of individuals being unemployed and burden on the exchequer.,30-39,Sligo
18,"Co-designing for an ageing population. Ireland has a rapidly ageing population. There is an unprecedented need to understand this phenomenon over the coming decades. Co-design and citizen science research with older populations are needed over time to create better services, products and futures for ageing populations. These may include : health service, public services, education, ageing in place (to name a few). ",40-49,Kilkenny
19,A national multi-disciplinary early years study on what the under 5s need in order to thrive. It should include a lobby group to take government to task in order to fund the actions resulting from the study and look to Scandinavia for inspiration and their childcare models in particular.,30-39,Cork
20,"A national picture book gifting program aimed at the under 5s. Registration should be via digital means and voluntary for parents or guardians to register their child. Books should be selected in collaboration with Children's Books Ireland, prioritising books by Irish authors, illustrators and publishers.  The format should be one book per child per milestone/event e. g potty training/going to preschool /Christmas.",30-39,Cork
21,"Researchers should explore public health responses to crime and violence. Most ways to meet people's needs and prevent crime involve housing, health, mental health, community development and education, and other countries are showing the way as to how to do this - so we should study it.",30-39,Dublin
22,"Restorative justice is shown to be an effective way to help victims and reduce reoffending in other countries, but there has been almost no research on it here - we should study the implementation of restorative justice in Ireland.",30-39,Dublin
23,There are essentially no studies here exploring how the police use their discretion and that consider police culture in Ireland - An Garda Siochana need to open themselves up to research.,30-39,Dublin
24,"There is no research on how to build a strong sense of community and prevent conflict within universities - researchers should focus on what they can do to improve the services provided by their own institutions, including student participation in learning, feedback, community building and conflict resolution.",30-39,Dublin
25,"Research the level of public trust in medical science & scientists.

Why?
Mistrust of science threatens public health as seen in anti-vax movement & the growth of alternative therapies which can displace science-based medical intervention.

Method: 
National survey to establish attitudes versus demographics, sources of information & influence. Get education & belief system benchmarks. Select focus groups for depth.",60-69,Dublin
26,Develop novel intellectual property systems for research using local and social finance investment.,30-39,Dublin
27,"Ireland is in dire need of a national genomics programme. Genomics is becoming a standard tool in medicine (covid has highlighted this). Ireland lacks policy and frameworks to ever use this properly, meaning current and future generations will suffer. 
Other countries have far outstripped us, see UK, Australia etc. For more information on implementation see HRCI work published on this recently for further information.",30-39,Cork
28,"Engage with people more. Research is often seen as something that happens far away in universities with no practical implications. Hold demonstrations and information sessions in small towns, not just a focus on Dublin.
Make sure these are promoted as open to all, people sometimes think only experts should attend.
Use libraries and local community spaces to engage with and relate to the general public.",,
29,My idea is that the State fund's researchers working in our universities & colleges to pursue what they are interested in & for that research not to be driven by preconceived impacts. I worry that impact-driven research can be too narrow and focus on immediate issues only. The goal must be for us to have a healthy and diverse research environment where researchers are ethical in their work and it is well communicated.,40-49,Dublin
30,I don’t know much about researchers in Ireland and would love to find out more about what they do. I feel like trendy advertisement on social media would be a good way for people to understand what research is being conducted in Ireland and to learn how they can get involved and contribute.,20-29,Dublin
31,We need to establish the cost of not breastfeeding in Ireland.,30-39,Cork
32,"COVID-19 has shown the importance of preventative behaviour for protecting and promoting health. Ireland should invest in research on why people do or do not engage in protective behaviours like exercise, alcohol reduction, smoking cessation, healthy eating and harm reduction in drug use.",30-39,Galway
33,"Use rainwater to generate energy. Ireland has lots of rain!
Example here of research: https://www.techbriefs.com/component/content/article/tb/stories/blog/36126",,
34,Example here of research :  Link provided,,
35,4 day work week.,,
