,esgScores,symbol
adult,False,AAPL
alcoholic,False,AAPL
animalTesting,False,AAPL
catholic,,AAPL
coal,False,AAPL
controversialWeapons,False,AAPL
environmentPercentile,,AAPL
environmentScore,0.55,AAPL
esgPerformance,LAG_PERF,AAPL
furLeather,False,AAPL
gambling,False,AAPL
gmo,False,AAPL
governancePercentile,,AAPL
governanceScore,8.72,AAPL
highestControversy,3.0,AAPL
maxAge,86400,AAPL
militaryContract,False,AAPL
nuclear,False,AAPL
palmOil,False,AAPL
peerCount,106,AAPL
peerEnvironmentPerformance,"{'min': 0.17, 'avg': 2.572307692307692, 'max': 10.47}",AAPL
peerEsgScorePerformance,"{'min': 4.46, 'avg': 15.118584905660377, 'max': 27.77}",AAPL
peerGovernancePerformance,"{'min': 1.43, 'avg': 4.303333333333335, 'max': 8.72}",AAPL
peerGroup,Technology Hardware,AAPL
peerHighestControversyPerformance,"{'min': 0.0, 'avg': 0.8018867924528302, 'max': 3.0}",AAPL
peerSocialPerformance,"{'min': 1.4, 'avg': 5.2794871794871785, 'max': 11.29}",AAPL
percentile,,AAPL
pesticides,False,AAPL
ratingMonth,11,AAPL
ratingYear,2024,AAPL
relatedControversy,['Customer Incidents;Social Supply Chain Incidents;Business Ethics Incidents'],AAPL
smallArms,False,AAPL
socialPercentile,,AAPL
socialScore,7.52,AAPL
tobacco,False,AAPL
totalEsg,16.79,AAPL
adult,False,MSFT
alcoholic,False,MSFT
animalTesting,False,MSFT
catholic,,MSFT
coal,False,MSFT
controversialWeapons,False,MSFT
environmentPercentile,,MSFT
environmentScore,1.65,MSFT
esgPerformance,LAG_PERF,MSFT
furLeather,False,MSFT
gambling,False,MSFT
gmo,False,MSFT
governancePercentile,,MSFT
governanceScore,4.96,MSFT
highestControversy,3.0,MSFT
maxAge,86400,MSFT
militaryContract,False,MSFT
nuclear,False,MSFT
palmOil,False,MSFT
peerCount,325,MSFT
peerEnvironmentPerformance,"{'min': 0.28, 'avg': 2.969932885906042, 'max': 6.25}",MSFT
peerEsgScorePerformance,"{'min': 11.43, 'avg': 21.051784615384616, 'max': 32.73}",MSFT
peerGovernancePerformance,"{'min': 2.27, 'avg': 5.809865771812083, 'max': 11.74}",MSFT
peerGroup,Software & Services,MSFT
peerHighestControversyPerformance,"{'min': 0.0, 'avg': 0.8092307692307692, 'max': 4.0}",MSFT
