timestamp,esgScore,governanceScore,environmentScore,socialScore,symbol
2014-09-01,61.0,62.0,74.0,45.0,AAPL
2014-10-01,60.0,62.0,74.0,45.0,AAPL
2014-11-01,61.0,62.0,74.0,45.0,AAPL
2014-12-01,61.0,62.0,74.0,45.0,AAPL
2015-01-01,61.0,62.0,74.0,45.0,AAPL
2015-02-01,61.0,62.0,74.0,45.0,AAPL
2015-03-01,63.0,62.0,80.0,45.0,AAPL
2015-04-01,63.0,62.0,80.0,45.0,AAPL
2015-05-01,63.0,62.0,80.0,45.0,AAPL
2015-06-01,63.0,62.0,80.0,45.0,AAPL
2015-07-01,63.0,62.0,80.0,45.0,AAPL
2015-08-01,64.0,67.0,77.0,47.0,AAPL
2015-09-01,64.0,67.0,77.0,45.0,AAPL
2015-10-01,63.0,67.0,77.0,45.0,AAPL
2015-11-01,62.0,62.0,77.0,45.0,AAPL
2015-12-01,62.0,62.0,77.0,45.0,AAPL
2016-01-01,62.36,62.28,77.47,45.14,AAPL
2016-02-01,62.36,62.28,77.47,45.14,AAPL
2016-03-01,62.36,62.28,77.47,45.14,AAPL
2016-04-01,62.33,62.28,78.09,44.34,AAPL
2016-05-01,62.33,62.28,78.09,44.34,AAPL
2016-06-01,62.33,62.28,78.09,44.34,AAPL
2016-07-01,62.33,62.28,78.09,44.34,AAPL
2016-08-01,62.33,62.28,78.09,44.34,AAPL
2016-09-01,62.33,62.28,78.09,44.34,AAPL
2016-10-01,62.33,62.28,78.09,44.34,AAPL
2016-11-01,67.36,59.48,83.95,54.02,AAPL
2016-12-01,67.36,59.48,83.95,54.02,AAPL
2017-01-01,67.28,59.48,83.73,54.02,AAPL
2017-02-01,67.28,59.48,83.73,54.02,AAPL
2017-03-01,67.28,59.48,83.73,54.02,AAPL
2017-04-01,67.28,59.48,83.73,54.02,AAPL
2017-05-01,67.28,59.48,83.73,54.02,AAPL
2017-06-01,67.19,57.48,83.73,55.2,AAPL
2017-07-01,67.28,59.48,83.73,54.02,AAPL
2017-08-01,67.19,57.48,83.73,55.2,AAPL
2017-09-01,67.19,57.48,83.73,55.2,AAPL
2017-10-01,67.4,52.68,85.86,56.8,AAPL
2017-11-01,67.4,52.68,85.86,56.8,AAPL
2017-12-01,67.4,52.68,85.86,56.8,AAPL
2018-01-01,68.54,52.68,88.7,56.8,AAPL
2018-02-01,68.54,52.68,88.7,56.8,AAPL
2018-03-01,68.54,52.68,88.7,56.8,AAPL
2018-04-01,68.54,52.68,88.7,56.8,AAPL
2018-05-01,68.54,52.68,88.7,56.8,AAPL
2018-06-01,68.54,52.68,88.7,56.8,AAPL
2018-07-01,68.54,52.68,88.7,56.8,AAPL
2018-08-01,69.33,54.68,89.42,56.8,AAPL
2018-09-01,69.33,54.68,89.42,56.8,AAPL
2018-10-01,69.33,54.68,89.42,56.8,AAPL
2018-11-01,70.63,59.88,89.42,56.8,AAPL
2018-12-01,70.63,59.88,89.42,56.8,AAPL
2019-01-01,70.63,59.88,89.42,56.8,AAPL
2019-02-01,70.63,59.88,89.42,56.8,AAPL
2019-03-01,70.34,59.88,88.71,56.8,AAPL
2019-04-01,70.34,59.88,88.71,56.8,AAPL
2019-05-01,70.34,59.88,88.71,56.8,AAPL
2019-06-01,70.4,59.88,88.86,56.8,AAPL
2019-07-01,70.4,59.88,88.86,56.8,AAPL
2019-08-01,70.28,59.38,88.86,56.8,AAPL
2019-09-01,72.27,61.38,89.81,59.98,AAPL
2019-10-01,72.27,61.38,89.81,59.98,AAPL
2019-11-01,72.27,61.38,89.81,59.98,AAPL
2019-12-01,23.6,10.42,0.55,12.63,AAPL
2020-01-01,23.82,10.26,0.55,13.0,AAPL
2020-02-01,23.82,10.26,0.55,13.0,AAPL
2020-03-01,23.82,10.26,0.55,13.0,AAPL
2020-04-01,,,,,AAPL
2020-05-01,,,,,AAPL
2020-06-01,,,,,AAPL
2020-07-01,23.62,10.15,0.49,12.98,AAPL
2020-08-01,23.62,10.15,0.49,12.98,AAPL
2020-09-01,,,,,AAPL
2020-10-01,23.65,10.18,0.49,12.98,AAPL
2020-11-01,,,,,AAPL
2020-12-01,,,,,AAPL
2021-01-01,16.46,8.82,0.1,7.55,AAPL
2021-02-01,16.58,8.94,0.1,7.55,AAPL
2021-03-01,16.73,8.94,0.1,7.69,AAPL
2021-04-01,,,,,AAPL
2021-05-01,16.92,8.94,0.29,7.69,AAPL
2021-06-01,,,,,AAPL
2021-07-01,,,,,AAPL
2021-08-01,,,,,AAPL
2021-09-01,16.92,8.64,0.29,7.99,AAPL
2021-10-01,,,,,AAPL
2021-11-01,,,,,AAPL
2021-12-01,,,,,AAPL
2022-01-01,,,,,AAPL
2022-02-01,16.27,8.76,0.65,6.86,AAPL
2022-03-01,,,,,AAPL
2022-04-01,,,,,AAPL
2022-05-01,16.41,8.9,0.65,6.86,AAPL
2022-06-01,,,,,AAPL
2022-07-01,,,,,AAPL
2022-08-01,16.68,9.18,0.65,6.86,AAPL
2022-09-01,,,,,AAPL
2022-10-01,,,,,AAPL
2022-11-01,,,,,AAPL
2022-12-01,,,,,AAPL
2023-01-01,,,,,AAPL
2023-02-01,,,,,AAPL
2023-03-01,,,,,AAPL
2023-04-01,,,,,AAPL
2023-05-01,,,,,AAPL
2023-06-01,,,,,AAPL
2023-07-01,,,,,AAPL
2023-08-01,,,,,AAPL
2023-09-01,17.22,9.37,0.46,7.39,AAPL
2023-10-01,,,,,AAPL
2023-11-01,,,,,AAPL
2023-12-01,,,,,AAPL
2024-01-01,,,,,AAPL
2024-02-01,,,,,AAPL
2024-03-01,,,,,AAPL
2024-04-01,,,,,AAPL
2024-05-01,,,,,AAPL
2024-06-01,,,,,AAPL
2024-07-01,,,,,AAPL
2024-08-01,,,,,AAPL
2024-09-01,,,,,AAPL
2024-10-01,16.79,8.72,0.55,7.52,AAPL
2024-11-01,16.79,8.72,0.55,7.52,AAPL
2014-09-01,59.0,53.0,74.0,52.0,GOOGL
2014-10-01,59.0,53.0,74.0,52.0,GOOGL
2014-11-01,59.0,53.0,74.0,52.0,GOOGL
2014-12-01,63.0,55.0,73.0,60.0,GOOGL
2015-01-01,63.0,55.0,73.0,60.0,GOOGL
2015-02-01,63.0,55.0,73.0,60.0,GOOGL
2015-03-01,62.0,55.0,75.0,57.0,GOOGL
2015-04-01,62.0,55.0,75.0,57.0,GOOGL
2015-05-01,62.0,55.0,75.0,57.0,GOOGL
2015-06-01,62.0,55.0,75.0,57.0,GOOGL
2015-07-01,62.0,55.0,75.0,57.0,GOOGL
2015-08-01,62.0,55.0,75.0,57.0,GOOGL
2015-09-01,63.0,55.0,75.0,58.0,GOOGL
2015-10-01,62.0,52.0,75.0,58.0,GOOGL
2015-11-01,62.0,52.0,75.0,58.0,GOOGL
2015-12-01,63.0,52.0,76.0,62.0,GOOGL
2016-01-01,66.78,51.49,76.16,69.01,GOOGL
2016-02-01,66.78,51.49,76.16,69.01,GOOGL
2016-03-01,66.78,51.49,76.16,69.01,GOOGL
2016-04-01,65.16,51.49,77.0,64.86,GOOGL
2016-05-01,65.16,51.49,77.0,64.86,GOOGL
2016-06-01,64.66,51.49,75.33,64.86,GOOGL
2016-07-01,64.16,51.49,73.67,64.86,GOOGL
2016-08-01,64.16,51.49,73.67,64.86,GOOGL
2016-09-01,64.16,51.49,73.67,64.86,GOOGL
2016-10-01,64.16,51.49,73.67,64.86,GOOGL
2016-11-01,62.83,51.49,73.67,61.91,GOOGL
2016-12-01,62.83,51.49,73.67,61.91,GOOGL
2017-01-01,63.38,51.19,73.67,63.3,GOOGL
2017-02-01,63.38,51.19,73.67,63.3,GOOGL
2017-03-01,63.38,51.19,73.67,63.3,GOOGL
2017-04-01,64.13,52.19,75.33,63.3,GOOGL
2017-05-01,63.38,52.19,72.83,63.3,GOOGL
2017-06-01,63.38,52.19,72.83,63.3,GOOGL
2017-07-01,63.38,52.19,72.83,63.3,GOOGL
2017-08-01,62.79,52.19,72.83,61.98,GOOGL
2017-09-01,62.79,52.19,72.83,61.98,GOOGL
2017-10-01,63.37,47.19,73.0,65.93,GOOGL
2017-11-01,63.37,47.19,73.0,65.93,GOOGL
2017-12-01,63.37,47.19,73.0,65.93,GOOGL
2018-01-01,63.37,47.19,73.0,65.93,GOOGL
2018-02-01,63.37,47.19,73.0,65.93,GOOGL
2018-03-01,63.37,47.19,73.0,65.93,GOOGL
2018-04-01,63.05,44.19,75.5,65.22,GOOGL
2018-05-01,63.05,44.19,75.5,65.22,GOOGL
2018-06-01,63.05,44.19,75.5,65.22,GOOGL
2018-07-01,63.05,44.19,75.5,65.22,GOOGL
2018-08-01,63.05,44.19,75.5,65.22,GOOGL
2018-09-01,63.05,44.19,75.5,65.22,GOOGL
2018-10-01,63.05,44.19,75.5,65.22,GOOGL
2018-11-01,62.75,42.99,75.5,65.22,GOOGL
2018-12-01,62.75,42.99,75.5,65.22,GOOGL
2019-01-01,62.75,42.99,75.5,65.22,GOOGL
2019-02-01,62.75,42.99,75.5,65.22,GOOGL
2019-03-01,63.0,42.99,76.33,65.22,GOOGL
2019-04-01,63.61,42.99,76.33,66.59,GOOGL
2019-05-01,63.61,42.99,76.33,66.59,GOOGL
2019-06-01,63.61,42.99,76.33,66.59,GOOGL
2019-07-01,63.61,42.99,76.33,66.59,GOOGL
2019-08-01,63.61,42.99,76.33,66.59,GOOGL
2019-09-01,63.67,42.99,76.33,66.72,GOOGL
2019-10-01,63.67,42.99,76.33,66.72,GOOGL
2019-11-01,64.05,44.49,76.33,66.72,GOOGL
2019-12-01,29.62,13.11,0.9,15.61,GOOGL
2020-01-01,29.62,12.83,0.9,15.89,GOOGL
2020-02-01,29.62,12.83,0.9,15.89,GOOGL
2020-03-01,29.62,12.83,0.9,15.89,GOOGL
2020-04-01,,,,,GOOGL
2020-05-01,,,,,GOOGL
2020-06-01,,,,,GOOGL
2020-07-01,29.62,12.83,0.9,15.89,GOOGL
2020-08-01,29.62,12.83,0.9,15.89,GOOGL
2020-09-01,,,,,GOOGL
2020-10-01,22.85,12.49,0.48,9.87,GOOGL
2020-11-01,,,,,GOOGL
2020-12-01,,,,,GOOGL
2021-01-01,22.85,12.49,0.48,9.87,GOOGL
2021-02-01,22.85,12.49,0.48,9.87,GOOGL
2021-03-01,22.29,11.94,0.48,9.87,GOOGL
2021-04-01,,,,,GOOGL
2021-05-01,22.29,11.9,0.48,9.91,GOOGL
2021-06-01,,,,,GOOGL
2021-07-01,,,,,GOOGL
2021-08-01,,,,,GOOGL
2021-09-01,22.89,11.62,0.48,10.79,GOOGL
2021-10-01,,,,,GOOGL
2021-11-01,,,,,GOOGL
2021-12-01,,,,,GOOGL
2022-01-01,,,,,GOOGL
2022-02-01,22.89,11.59,0.48,10.81,GOOGL
2022-03-01,,,,,GOOGL
2022-04-01,,,,,GOOGL
2022-05-01,24.32,11.54,1.66,11.12,GOOGL
2022-06-01,,,,,GOOGL
2022-07-01,,,,,GOOGL
2022-08-01,24.14,11.39,1.66,11.1,GOOGL
2022-09-01,,,,,GOOGL
2022-10-01,,,,,GOOGL
2022-11-01,,,,,GOOGL
2022-12-01,,,,,GOOGL
2023-01-01,,,,,GOOGL
2023-02-01,,,,,GOOGL
2023-03-01,,,,,GOOGL
2023-04-01,,,,,GOOGL
2023-05-01,,,,,GOOGL
2023-06-01,,,,,GOOGL
2023-07-01,,,,,GOOGL
2023-08-01,,,,,GOOGL
2023-09-01,24.22,11.51,1.56,11.16,GOOGL
2023-10-01,,,,,GOOGL
2023-11-01,,,,,GOOGL
2023-12-01,,,,,GOOGL
2024-01-01,,,,,GOOGL
2024-02-01,,,,,GOOGL
2024-03-01,,,,,GOOGL
2024-04-01,,,,,GOOGL
2024-05-01,,,,,GOOGL
2024-06-01,,,,,GOOGL
2024-07-01,,,,,GOOGL
2024-08-01,,,,,GOOGL
2024-09-01,,,,,GOOGL
2024-10-01,23.89,11.74,1.88,10.27,GOOGL
2024-11-01,23.89,11.74,1.88,10.27,GOOGL
2022-05-01,32.44,10.41,1.02,21.01,META
2022-06-01,,,,,META
2022-07-01,,,,,META
2022-08-01,32.54,10.51,1.02,21.01,META
2022-09-01,,,,,META
2022-10-01,,,,,META
2022-11-01,,,,,META
2022-12-01,,,,,META
2023-01-01,,,,,META
2023-02-01,,,,,META
2023-03-01,,,,,META
2023-04-01,,,,,META
2023-05-01,,,,,META
2023-06-01,,,,,META
2023-07-01,,,,,META
2023-08-01,,,,,META
2023-09-01,34.08,10.29,2.71,21.09,META
2023-10-01,,,,,META
2023-11-01,,,,,META
2023-12-01,,,,,META
2024-01-01,,,,,META
2024-02-01,,,,,META
2024-03-01,,,,,META
2024-04-01,,,,,META
2024-05-01,,,,,META
2024-06-01,,,,,META
2024-07-01,,,,,META
2024-08-01,,,,,META
2024-09-01,,,,,META
2024-10-01,32.73,8.68,2.41,21.64,META
2024-11-01,32.73,8.68,2.41,21.64,META
2014-09-01,71.0,58.0,81.0,72.0,ORCL
2014-10-01,71.0,58.0,81.0,72.0,ORCL
2014-11-01,71.0,58.0,81.0,72.0,ORCL
2014-12-01,71.0,58.0,81.0,72.0,ORCL
2015-01-01,71.0,58.0,81.0,72.0,ORCL
2015-02-01,71.0,58.0,81.0,72.0,ORCL
2015-03-01,72.0,58.0,82.0,73.0,ORCL
2015-04-01,72.0,58.0,82.0,73.0,ORCL
2015-05-01,72.0,61.0,82.0,73.0,ORCL
2015-06-01,73.0,59.0,82.0,76.0,ORCL
2015-07-01,73.0,59.0,82.0,76.0,ORCL
2015-08-01,73.0,59.0,82.0,76.0,ORCL
2015-09-01,72.0,59.0,82.0,74.0,ORCL
2015-10-01,72.0,58.0,82.0,74.0,ORCL
2015-11-01,72.0,55.0,82.0,74.0,ORCL
2015-12-01,72.0,55.0,82.0,74.0,ORCL
2016-01-01,71.6,55.35,81.66,73.92,ORCL
2016-02-01,71.6,55.35,81.66,73.92,ORCL
2016-03-01,69.51,55.35,81.66,69.27,ORCL
2016-04-01,69.53,60.65,81.67,66.37,ORCL
2016-05-01,69.53,60.65,81.67,66.37,ORCL
2016-06-01,69.53,60.65,81.67,66.37,ORCL
2016-07-01,69.53,60.65,81.67,66.37,ORCL
2016-08-01,69.53,60.65,81.67,66.37,ORCL
2016-09-01,69.53,60.65,81.67,66.37,ORCL
2016-10-01,69.53,60.65,81.67,66.37,ORCL
2016-11-01,69.53,60.65,81.67,66.37,ORCL
2016-12-01,69.53,60.65,81.67,66.37,ORCL
2017-01-01,68.93,60.65,81.67,65.03,ORCL
2017-02-01,68.93,60.65,81.67,65.03,ORCL
2017-03-01,68.93,60.65,81.67,65.03,ORCL
2017-04-01,68.93,60.65,81.67,65.03,ORCL
2017-05-01,69.18,60.65,82.5,65.03,ORCL
2017-06-01,69.18,60.65,82.5,65.03,ORCL
2017-07-01,69.18,60.65,82.5,65.03,ORCL
2017-08-01,69.67,60.85,85.0,64.35,ORCL
2017-09-01,69.67,60.85,85.0,64.35,ORCL
2017-10-01,69.7,57.25,85.0,66.42,ORCL
2017-11-01,69.7,57.25,85.0,66.42,ORCL
2017-12-01,69.7,57.25,85.0,66.42,ORCL
2018-01-01,69.27,56.55,84.17,66.42,ORCL
2018-02-01,69.27,56.55,84.17,66.42,ORCL
2018-03-01,69.27,56.55,84.17,66.42,ORCL
2018-04-01,69.27,56.55,84.17,66.42,ORCL
2018-05-01,69.27,56.55,84.17,66.42,ORCL
2018-06-01,69.27,56.55,84.17,66.42,ORCL
2018-07-01,69.27,56.55,84.17,66.42,ORCL
2018-08-01,69.27,56.55,84.17,66.42,ORCL
2018-09-01,69.27,56.55,84.17,66.42,ORCL
2018-10-01,69.27,56.55,84.17,66.42,ORCL
2018-11-01,69.27,56.55,84.17,66.42,ORCL
2018-12-01,69.27,56.55,84.17,66.42,ORCL
2019-01-01,69.27,56.55,84.17,66.42,ORCL
2019-02-01,69.27,56.55,84.17,66.42,ORCL
2019-03-01,68.77,56.55,82.5,66.42,ORCL
2019-04-01,66.67,56.55,82.5,61.75,ORCL
2019-05-01,66.67,56.55,82.5,61.75,ORCL
2019-06-01,66.67,56.55,82.5,61.75,ORCL
2019-07-01,66.67,56.55,82.5,61.75,ORCL
2019-08-01,67.05,56.55,82.5,62.59,ORCL
2019-09-01,67.05,56.55,82.5,62.59,ORCL
2019-10-01,67.05,56.55,82.5,62.59,ORCL
2019-11-01,68.13,57.15,82.5,64.66,ORCL
2019-12-01,18.12,6.79,0.43,10.91,ORCL
2020-01-01,18.12,6.79,0.43,10.91,ORCL
2020-02-01,18.12,6.79,0.43,10.91,ORCL
2020-03-01,18.12,6.79,0.43,10.91,ORCL
2020-04-01,,,,,ORCL
2020-05-01,,,,,ORCL
2020-06-01,,,,,ORCL
2020-07-01,18.12,6.79,0.43,10.91,ORCL
2020-08-01,18.12,6.79,0.43,10.91,ORCL
2020-09-01,,,,,ORCL
2020-10-01,18.18,6.57,0.43,11.18,ORCL
2020-11-01,,,,,ORCL
2020-12-01,,,,,ORCL
2021-01-01,18.18,6.57,0.43,11.18,ORCL
2021-02-01,18.18,6.57,0.43,11.18,ORCL
2021-03-01,18.18,6.57,0.43,11.18,ORCL
2021-04-01,,,,,ORCL
2021-05-01,18.18,6.57,0.43,11.18,ORCL
2021-06-01,,,,,ORCL
2021-07-01,,,,,ORCL
2021-08-01,,,,,ORCL
2021-09-01,17.84,6.84,0.43,10.58,ORCL
2021-10-01,,,,,ORCL
2021-11-01,,,,,ORCL
2021-12-01,,,,,ORCL
2022-01-01,,,,,ORCL
2022-02-01,14.47,6.18,0.5,7.79,ORCL
2022-03-01,,,,,ORCL
2022-04-01,,,,,ORCL
2022-05-01,13.97,5.69,0.5,7.79,ORCL
2022-06-01,,,,,ORCL
2022-07-01,,,,,ORCL
2022-08-01,13.92,5.69,0.52,7.71,ORCL
2022-09-01,,,,,ORCL
2022-10-01,,,,,ORCL
2022-11-01,,,,,ORCL
2022-12-01,,,,,ORCL
2023-01-01,,,,,ORCL
2023-02-01,,,,,ORCL
2023-03-01,,,,,ORCL
2023-04-01,,,,,ORCL
2023-05-01,,,,,ORCL
2023-06-01,,,,,ORCL
2023-07-01,,,,,ORCL
2023-08-01,,,,,ORCL
2023-09-01,13.89,5.6,0.5,7.79,ORCL
2023-10-01,,,,,ORCL
2023-11-01,,,,,ORCL
2023-12-01,,,,,ORCL
2024-01-01,,,,,ORCL
2024-02-01,,,,,ORCL
2024-03-01,,,,,ORCL
2024-04-01,,,,,ORCL
2024-05-01,,,,,ORCL
2024-06-01,,,,,ORCL
2024-07-01,,,,,ORCL
2024-08-01,,,,,ORCL
2024-09-01,,,,,ORCL
2024-10-01,,,,,ORCL
2024-11-01,14.53,6.21,1.58,6.75,ORCL
2014-09-01,61.0,59.0,68.0,57.0,CRM
2014-10-01,61.0,59.0,68.0,57.0,CRM
2014-11-01,61.0,59.0,68.0,57.0,CRM
2014-12-01,61.0,59.0,68.0,57.0,CRM
2015-01-01,61.0,59.0,68.0,57.0,CRM
2015-02-01,61.0,59.0,68.0,57.0,CRM
2015-03-01,62.0,59.0,68.0,59.0,CRM
2015-04-01,62.0,59.0,68.0,59.0,CRM
2015-05-01,62.0,59.0,68.0,59.0,CRM
2015-06-01,62.0,59.0,68.0,59.0,CRM
2015-07-01,62.0,59.0,68.0,59.0,CRM
2015-08-01,62.0,59.0,68.0,59.0,CRM
2015-09-01,62.0,59.0,68.0,59.0,CRM
2015-10-01,62.0,59.0,67.0,59.0,CRM
2015-11-01,62.0,59.0,67.0,59.0,CRM
2015-12-01,62.0,59.0,68.0,59.0,CRM
2016-01-01,61.62,59.24,67.5,59.02,CRM
2016-02-01,61.62,59.24,67.5,59.02,CRM
2016-03-01,61.62,59.24,67.5,59.02,CRM
2016-04-01,62.11,72.44,68.33,52.22,CRM
2016-05-01,62.11,72.44,68.33,52.22,CRM
2016-06-01,62.07,72.27,68.33,52.22,CRM
2016-07-01,62.32,72.27,69.17,52.22,CRM
2016-08-01,62.32,72.27,69.17,52.22,CRM
2016-09-01,62.32,72.27,69.17,52.22,CRM
2016-10-01,62.32,72.27,69.17,52.22,CRM
2016-11-01,62.32,72.27,69.17,52.22,CRM
2016-12-01,62.32,72.27,69.17,52.22,CRM
2017-01-01,60.22,72.27,69.17,47.56,CRM
2017-02-01,60.22,72.27,69.17,47.56,CRM
2017-03-01,60.26,72.43,69.17,47.56,CRM
2017-04-01,66.6,70.68,69.17,62.63,CRM
2017-05-01,65.85,70.68,66.67,62.63,CRM
2017-06-01,65.85,70.68,66.67,62.63,CRM
2017-07-01,65.85,70.68,66.67,62.63,CRM
2017-08-01,65.85,70.68,66.67,62.63,CRM
2017-09-01,65.85,70.68,66.67,62.63,CRM
2017-10-01,67.17,67.18,67.5,66.94,CRM
2017-11-01,67.17,67.18,67.5,66.94,CRM
2017-12-01,67.17,67.18,67.5,66.94,CRM
2018-01-01,66.77,67.18,67.5,66.06,CRM
2018-02-01,66.77,67.18,67.5,66.06,CRM
2018-03-01,66.77,67.18,67.5,66.06,CRM
2018-04-01,66.77,67.18,67.5,66.06,CRM
2018-05-01,72.28,71.18,75.33,70.87,CRM
