year,symbol,esgScore,governanceScore,environmentScore,socialScore
2014,AAPL,60.75,62.0,74.0,45.0
2015,AAPL,62.67,63.25,77.75,45.17
2016,AAPL,63.18,61.81,78.91,46.15
2017,AAPL,67.29,57.28,84.26,55.01
2018,AAPL,69.09,54.38,89.0,56.8
2019,AAPL,66.98,56.09,81.79,53.91
2020,AAPL,23.72,10.21,0.52,12.99
2021,AAPL,16.72,8.86,0.18,7.69
2022,AAPL,16.45,8.95,0.65,6.86
2023,AAPL,17.22,9.37,0.46,7.39
2024,AAPL,16.79,8.72,0.55,7.52
2014,ADBE,70.0,63.0,75.0,71.0
2015,ADBE,67.58,63.58,71.08,67.75
2016,ADBE,73.85,69.54,81.67,71.04
2017,ADBE,71.24,68.09,79.17,67.7
2018,ADBE,68.54,65.98,74.42,66.06
2019,ADBE,63.57,62.54,70.19,58.16
2020,ADBE,13.54,5.05,0.45,8.06
2021,ADBE,10.88,4.74,0.48,5.65
2022,ADBE,11.9,4.64,1.42,5.84
2023,ADBE,13.08,5.15,1.94,5.99
2024,ADBE,14.06,5.14,1.69,7.23
2014,ADSK,69.0,76.0,78.0,59.0
2015,ADSK,70.5,74.0,81.17,61.67
2016,ADSK,67.86,71.65,79.25,58.18
2017,ADSK,62.04,70.3,70.61,51.73
2018,ADSK,61.97,66.65,70.75,53.52
2019,ADSK,62.69,65.68,71.33,55.27
2020,ADSK,19.52,5.46,1.28,12.77
2021,ADSK,15.36,4.78,1.37,9.22
2022,ADSK,15.86,4.6,2.73,8.53
2023,ADSK,16.4,4.66,3.54,8.19
2024,ADSK,15.14,3.72,3.34,8.09
2024,AI,21.99,8.16,1.73,12.1
2024,AMPL,20.93,0.0,0.0,0.0
2017,ANET,51.55,59.32,48.55,49.43
2018,ANET,52.36,53.72,51.34,52.55
2019,ANET,54.01,52.84,55.1,53.58
2020,ANET,18.86,8.67,0.74,9.45
2021,ANET,17.67,8.21,0.4,9.06
2022,ANET,16.99,7.64,0.4,8.94
2023,ANET,16.54,7.25,0.4,8.88
2024,ANET,13.71,5.1,0.58,8.02
2024,APP,19.16,6.37,0.39,12.41
2024,APPF,21.93,0.0,0.0,0.0
2024,ASAN,22.07,0.0,0.0,0.0
2024,ATEN,20.5,0.0,0.0,0.0
2024,BASE,21.94,0.0,0.0,0.0
2024,BILL,20.72,3.76,5.85,11.12
2024,BL,23.12,0.0,0.0,0.0
2024,BOX,23.68,0.0,0.0,0.0
2024,CCSI,24.18,0.0,0.0,0.0
2014,CDNS,50.0,64.0,42.0,47.0
2015,CDNS,50.0,64.0,42.0,47.0
2016,CDNS,48.86,64.35,42.17,44.72
2017,CDNS,48.62,59.3,42.16,47.0
2018,CDNS,50.22,56.31,45.33,50.1
2019,CDNS,50.8,57.63,47.75,49.05
2020,CDNS,17.18,5.51,1.16,10.51
2021,CDNS,16.26,5.27,1.14,9.85
2022,CDNS,12.84,4.75,1.18,6.92
2023,CDNS,12.1,4.76,1.87,5.47
2024,CDNS,11.43,3.84,2.4,5.19
2024,CFLT,17.89,5.42,1.84,10.64
2024,COUR,19.55,0.0,0.0,0.0
2014,CRM,61.0,59.0,68.0,57.0
2015,CRM,61.83,59.0,67.83,58.67
2016,CRM,62.09,69.04,68.54,53.92
2017,CRM,64.84,70.22,67.71,59.94
2018,CRM,70.41,69.72,72.72,69.27
2019,CRM,59.82,53.75,59.26,55.15
2020,CRM,20.87,5.55,6.03,9.29
2021,CRM,11.26,4.29,0.46,6.5
2022,CRM,13.22,4.45,2.34,6.44
